,prices,hour,day,week,month,weekend,rsi,roc
0,24.31,0,0,0,0,0,,
1,24.31,1,0,0,0,0,,
2,21.71,2,0,0,0,0,0.0,
3,8.42,3,0,0,0,0,0.0,
4,0.01,4,0,0,0,0,0.0,
5,0.01,5,0,0,0,0,0.0,
6,0.02,6,0,0,0,0,0.06758990865975534,99.91772932949404
7,0.01,7,0,0,0,0,0.06753513233863373,99.95886466474701
8,0.01,8,0,0,0,0,0.06753513233863373,99.95393827729157
9,6.31,9,0,0,0,0,42.40915638895476,25.059382422802855
10,7.81,10,0,0,0,0,48.62812361431322,-78000.0
11,9.31,11,0,0,0,0,54.521356170629446,-93000.0
12,21.7,12,0,0,0,0,78.71921889085799,-108400.0
13,14.01,13,0,0,0,0,56.377683737235685,-140000.0
14,15.0,14,0,0,0,0,58.20997684518916,-149900.0
15,10.0,15,0,0,0,0,46.39845622118274,-58.4786053882726
16,8.17,16,0,0,0,0,42.60182093225935,-4.6094750320102476
17,27.77,17,0,0,0,0,72.02374778848693,-198.28141783029
18,37.99,18,0,0,0,0,78.81769637535268,-75.06912442396315
19,33.11,19,0,0,0,0,69.1899252969294,-136.33119200571022
20,37.99,20,0,0,0,0,73.12878544041975,-153.26666666666668
21,33.0,21,0,0,0,0,63.21262382496272,-229.99999999999997
22,36.48,22,0,0,0,0,66.96176673658036,-346.5116279069767
23,30.65,23,0,0,0,0,55.57537457337626,-10.370903853078858
24,16.01,0,1,0,0,0,36.746367577819136,57.857330876546456
25,11.0,1,1,0,0,0,32.258254617813805,66.77740863787376
26,9.01,2,1,0,0,0,30.483606288955173,76.28323242958675
27,7.5,3,1,0,0,0,29.02943636031887,77.27272727272727
28,9.0,4,1,0,0,0,32.84802739095073,75.32894736842105
29,7.45,5,1,0,0,0,30.793527952361387,75.69331158238172
30,16.5,6,1,0,0,0,51.88055886127901,-3.060587133041839
31,28.01,7,1,0,0,0,67.15453550990085,-154.63636363636365
32,29.96,8,1,0,0,0,69.14561662307474,-232.51942286348503
33,39.6,9,1,0,0,0,77.30652106025518,-428.0
34,48.15,10,1,0,0,0,82.29159132274411,-434.99999999999994
35,49.93,11,1,0,0,0,83.21285144423997,-570.2013422818792
