,prices,hour,day,week,month,weekend,lstm
0,24.31,0,0,0,0,0,0
1,24.31,1,0,0,0,0,0
2,21.71,2,0,0,0,0,0
3,8.42,3,0,0,0,0,0
4,0.01,4,0,0,0,0,0
5,0.01,5,0,0,0,0,0
6,0.02,6,0,0,0,0,0
7,0.01,7,0,0,0,0,0
8,0.01,8,0,0,0,0,0
9,6.31,9,0,0,0,0,0
10,7.81,10,0,0,0,0,0
11,9.31,11,0,0,0,0,0
12,21.7,12,0,0,0,0,0
13,14.01,13,0,0,0,0,0
14,15.0,14,0,0,0,0,0
15,10.0,15,0,0,0,0,0
16,8.17,16,0,0,0,0,0
17,27.77,17,0,0,0,0,0
18,37.99,18,0,0,0,0,0
19,33.11,19,0,0,0,0,0
20,37.99,20,0,0,0,0,0
21,33.0,21,0,0,0,0,0
22,36.48,22,0,0,0,0,0
23,30.65,23,0,0,0,0,0
24,16.01,0,1,0,0,0,0
25,11.0,1,1,0,0,0,0
26,9.01,2,1,0,0,0,0
27,7.5,3,1,0,0,0,0
28,9.0,4,1,0,0,0,0
29,7.45,5,1,0,0,0,0
30,16.5,6,1,0,0,0,0
31,28.01,7,1,0,0,0,0
32,29.96,8,1,0,0,0,-1
33,39.6,9,1,0,0,0,-1
34,48.15,10,1,0,0,0,-1
35,49.93,11,1,0,0,0,-1
36,49.0,12,1,0,0,0,-1
37,46.01,13,1,0,0,0,0
38,37.57,14,1,0,0,0,0
39,36.45,15,1,0,0,0,0
40,37.99,16,1,0,0,0,0
41,53.0,17,1,0,0,0,0
42,59.69,18,1,0,0,0,-1
43,50.09,19,1,0,0,0,-1
44,50.0,20,1,0,0,0,-1
45,36.22,21,1,0,0,0,-1
46,31.09,22,1,0,0,0,0
47,29.84,23,1,0,0,0,0
48,28.0,0,2,0,0,0,0
49,24.5,1,2,0,0,0,0
50,24.15,2,2,0,0,0,0
51,18.99,3,2,0,0,0,0
52,15.5,4,2,0,0,0,0
53,23.11,5,2,0,0,0,0
54,29.01,6,2,0,0,0,0
55,39.73,7,2,0,0,0,0
56,43.81,8,2,0,0,0,-1
57,49.09,9,2,0,0,0,-1
58,51.0,10,2,0,0,0,-1
59,53.04,11,2,0,0,0,-1
60,49.99,12,2,0,0,0,-1
61,47.0,13,2,0,0,0,0
62,43.21,14,2,0,0,0,0
63,43.99,15,2,0,0,0,0
64,48.0,16,2,0,0,0,0
65,57.0,17,2,0,0,0,-1
66,60.99,18,2,0,0,0,-1
67,55.51,19,2,0,0,0,-1
68,51.77,20,2,0,0,0,-1
69,34.51,21,2,0,0,0,0
70,39.31,22,2,0,0,0,0
71,38.05,23,2,0,0,0,0
72,31.01,0,3,0,0,0,0
73,28.69,1,3,0,0,0,0
74,27.0,2,3,0,0,0,1
75,24.2,3,3,0,0,0,1
76,12.02,4,3,0,0,0,1
77,27.0,5,3,0,0,0,1
78,28.0,6,3,0,0,0,0
79,34.85,7,3,0,0,0,0
80,41.31,8,3,0,0,0,0
81,42.03,9,3,0,0,0,0
82,46.0,10,3,0,0,0,0
83,45.96,11,3,0,0,0,0
84,45.6,12,3,0,0,0,0
85,42.35,13,3,0,0,0,0
86,40.01,14,3,0,0,0,0
87,38.0,15,3,0,0,0,0
88,42.66,16,3,0,0,0,0
89,53.0,17,3,0,0,0,0
90,58.99,18,3,0,0,0,-1
91,53.5,19,3,0,0,0,-1
92,44.01,20,3,0,0,0,-1
93,35.0,21,3,0,0,0,0
94,34.46,22,3,0,0,0,0
95,31.57,23,3,0,0,0,0
96,22.0,0,4,0,0,0,0
97,19.5,1,4,0,0,0,1
98,17.55,2,4,0,0,0,1
99,15.91,3,4,0,0,0,1
100,11.4,4,4,0,0,0,1
101,22.65,5,4,0,0,0,1
102,27.3,6,4,0,0,0,0
103,34.0,7,4,0,0,0,0
104,40.01,8,4,0,0,0,0
105,45.0,9,4,0,0,0,0
106,50.34,10,4,0,0,0,0
107,49.84,11,4,0,0,0,0
108,48.81,12,4,0,0,0,0
109,47.94,13,4,0,0,0,0
110,40.06,14,4,0,0,0,0
111,38.0,15,4,0,0,0,0
112,38.61,16,4,0,0,0,0
113,49.84,17,4,0,0,0,0
114,53.0,18,4,0,0,0,-1
115,45.91,19,4,0,0,0,-1
116,36.74,20,4,0,0,0,-1
117,29.61,21,4,0,0,0,0
118,30.61,22,4,0,0,0,0
119,27.51,23,4,0,0,0,0
120,25.0,0,5,0,0,1,0
121,22.99,1,5,0,0,1,0
122,20.99,2,5,0,0,1,1
123,18.0,3,5,0,0,1,1
124,16.95,4,5,0,0,1,1
125,20.01,5,5,0,0,1,0
126,20.0,6,5,0,0,1,0
127,25.57,7,5,0,0,1,0
128,27.69,8,5,0,0,1,0
129,29.61,9,5,0,0,1,0
130,31.99,10,5,0,0,1,0
131,33.07,11,5,0,0,1,0
132,35.99,12,5,0,0,1,0
133,33.11,13,5,0,0,1,0
134,31.3,14,5,0,0,1,0
